#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
6.655    34.106    29.374    4.7314
6.66    34.057    29.32    4.7363
6.665    34.007    29.266    4.7411
6.67    33.958    29.212    4.7458
6.675    33.909    29.158    4.7506
6.68    33.859    29.104    4.7552
6.685    33.81    29.05    4.7598
6.69    33.76    28.996    4.7644
6.695    33.711    28.942    4.7689
6.7    33.662    28.888    4.7734
6.705    33.612    28.835    4.7778
6.71    33.563    28.781    4.7822
6.715    33.514    28.727    4.7865
6.72    33.464    28.673    4.7908
6.725    33.415    28.62    4.795
6.73    33.365    28.566    4.7992
6.735    33.316    28.513    4.8034
6.74    33.266    28.459    4.8075
6.745    33.217    28.405    4.8115
6.75    33.168    28.352    4.8155
6.755    33.118    28.299    4.8195
6.76    33.069    28.245    4.8234
6.765    33.019    28.192    4.8273
6.77    32.97    28.139    4.8311
6.775    32.92    28.085    4.8349
6.78    32.871    28.032    4.8386
6.785    32.821    27.979    4.8423
6.79    32.772    27.926    4.846
6.795    32.722    27.873    4.8496
6.8    32.673    27.82    4.8531
6.805    32.623    27.767    4.8566
6.81    32.574    27.714    4.8601
6.815    32.524    27.661    4.8635
6.82    32.475    27.608    4.8669
6.825    32.425    27.555    4.8702
6.83    32.376    27.502    4.8735
6.835    32.326    27.449    4.8767
6.84    32.276    27.397    4.8799
6.845    32.227    27.344    4.8831
6.85    32.177    27.291    4.8862
6.855    32.128    27.239    4.8892
6.86    32.078    27.186    4.8922
6.865    32.029    27.133    4.8952
6.87    31.979    27.081    4.8981
6.875    31.929    27.028    4.901
6.88    31.88    26.976    4.9038
6.885    31.83    26.924    4.9066
6.89    31.781    26.871    4.9094
6.895    31.731    26.819    4.9121
6.9    31.681    26.767    4.9147
6.905    31.632    26.714    4.9174
6.91    31.582    26.662    4.9199
6.915    31.532    26.61    4.9225
6.92    31.483    26.558    4.9249
6.925    31.433    26.506    4.9274
6.93    31.383    26.454    4.9298
6.935    31.334    26.402    4.9321
6.94    31.284    26.35    4.9344
6.945    31.234    26.298    4.9367
6.95    31.185    26.246    4.9389
6.955    31.135    26.194    4.9411
6.96    31.085    26.142    4.9432
6.965    31.036    26.09    4.9453
6.97    30.986    26.038    4.9474
6.975    30.936    25.987    4.9494
6.98    30.886    25.935    4.9513
6.985    30.837    25.883    4.9533
6.99    30.787    25.832    4.9551
6.995    30.737    25.78    4.957
7    30.687    25.729    4.9588
7.005    30.638    25.677    4.9605
7.01    30.588    25.626    4.9622
7.015    30.538    25.574    4.9639
7.02    30.488    25.523    4.9655
7.025    30.439    25.471    4.9671
7.03    30.389    25.42    4.9686
7.035    30.339    25.369    4.9701
7.04    30.289    25.318    4.9716
7.045    30.239    25.266    4.973
7.05    30.19    25.215    4.9743
7.055    30.14    25.164    4.9757
7.06    30.09    25.113    4.977
7.065    30.04    25.062    4.9782
7.07    29.99    25.011    4.9794
7.075    29.94    24.96    4.9806
7.08    29.891    24.909    4.9817
7.085    29.841    24.858    4.9827
7.09    29.791    24.807    4.9838
7.095    29.741    24.756    4.9848
7.1    29.691    24.705    4.9857
7.105    29.641    24.655    4.9866
7.11    29.591    24.604    4.9875
7.115    29.542    24.553    4.9883
7.12    29.492    24.503    4.9891
7.125    29.442    24.452    4.9898
7.13    29.392    24.401    4.9905
7.135    29.342    24.351    4.9912
7.14    29.292    24.3    4.9918
7.145    29.242    24.25    4.9924
7.15    29.192    24.199    4.9929
7.155    29.142    24.149    4.9934
7.16    29.092    24.098    4.9939
7.165    29.042    24.048    4.9943
7.17    28.992    23.998    4.9947
7.175    28.942    23.947    4.995
7.18    28.892    23.897    4.9953
7.185    28.843    23.847    4.9955
7.19    28.793    23.797    4.9957
7.195    28.743    23.747    4.9959
7.2    28.693    23.697    4.996
7.205    28.643    23.646    4.9961
7.21    28.593    23.596    4.9962
7.215    28.543    23.546    4.9962
7.22    28.493    23.496    4.9962
7.225    28.443    23.447    4.9961
7.23    28.393    23.397    4.996
7.235    28.343    23.347    4.9958
7.24    28.293    23.297    4.9956
7.245    28.243    23.247    4.9954
7.25    28.192    23.197    4.9951
7.255    28.142    23.148    4.9948
