#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
31.6		-81.5386		38.7736		5.79727		-0.184029
31.7		-80.9589		38.7552		37.0442		-12.2153
31.8		-77.2545		37.5337		68.1141		-24.1867
31.9		-70.4431		35.115		97.8588		-35.6655
32		-60.6572		31.5485		125.137		-46.2213
32.1		-48.1435		26.9263		148.855		-55.4418
32.2		-33.258		21.3822		168.01		-62.9488
32.3		-16.457		15.0873		181.729		-68.4128
32.4		1.71596		8.24598		189.307		-71.5673
32.5		20.6466		1.08926		190.235		-72.2203
32.6		39.6701		-6.13277		184.232		-70.2645
32.7		58.0933		-13.1592		171.257		-65.6842
32.8		75.219		-19.7276		151.527		-58.559
32.9		90.3717		-25.5835		125.508		-49.0643
33		102.923		-30.49		93.9198		-37.4688
33.1		112.315		-34.2369		57.7073		-24.1275
33.2		118.085		-36.6496		18.0215		-9.4724
33.3		119.887		-37.5969		-23.8177		6.00108
33.4		117.506		-36.9967		-66.3634		21.7495
33.5		110.869		-34.8218		-108.09		37.1997
33.6		100.06		-31.1018		-147.444		51.7689
33.7		85.3159		-25.9249		-182.905		64.8851
33.8		67.0254		-19.4364		-213.037		76.0092
33.9		45.7218		-11.8355		-236.546		84.6553
34		22.0672		-3.36997		-252.333		90.4111
34.1		-3.16615		5.67113		-259.543		92.9548
34.2		-29.1205		14.9666		-257.601		92.0711
34.3		-54.8806		24.1737		-246.246		87.6624
34.4		-79.5052		32.94		-225.551		79.7569
34.5		-102.06		40.9156		-195.935		68.5124
34.6		-121.654		47.7669		-158.157		54.2148
34.7		-137.469		53.1884		-113.301		37.2727
34.8		-148.8		56.9156		-62.7527		18.207
34.9		-155.075		58.7363		-8.15253		-2.36457
35		-155.89		58.4999		48.6488		-23.7457
35.1		-151.025		56.1253		105.653		-45.1847
35.2		-140.46		51.6068		160.783		-65.8997
35.3		-124.382		45.0169		211.952		-85.1064
35.4		-103.186		36.5062		257.144		-102.046
35.5		-77.472		26.3016		294.489		-116.016
35.6		-48.0231		14.7		322.333		-126.393
35.7		-15.7898		2.06076		339.313		-132.665
35.8		18.1415		-11.2058		344.41		-134.45
35.9		52.5826		-24.6508		337.007		-131.516
36		86.2832		-37.8023		316.918		-123.792
36.1		117.975		-50.1816		284.418		-111.384
36.2		146.417		-61.3199		240.244		-94.568
36.3		170.441		-70.7767		185.588		-73.7943
36.4		189		-78.1562		122.069		-49.6725
36.5		201.207		-83.1234		51.6919		-22.9569
36.6		206.376		-85.4191		-23.2167		5.47613
36.7		204.054		-84.8715		-100.078		34.6556
36.8		194.047		-81.4059		-176.147		63.5482
36.9		176.432		-75.0511		-248.607		91.0935
37		151.571		-65.9418		-314.67		116.242
37.1		120.104		-54.3176		-371.681		137.993
37.2		82.9361		-40.5183		-417.218		155.435
37.3		41.2143		-24.9747		-449.19		167.781
37.4		-3.70473		-8.19667		-465.925		174.4
37.5		-50.2972		9.24329		-466.248		174.849
37.6		-96.922		26.7282		-449.541		168.895
37.7		-141.876		43.6176		-415.787		156.53
37.8		-183.455		59.2706		-365.591		137.98
37.9		-220.014		73.0687		-300.182		113.708
38		-250.032		84.4394		-221.391		84.3996
38.1		-272.171		92.8794		-131.605		50.9524
38.2		-285.332		97.9746		-33.6993		14.4474
38.3		-288.702		99.4194		69.0458		-23.8833
38.4		-281.797		97.0311		173.055		-62.6954
38.5		-264.492		90.7615		274.574		-100.578
38.6		-237.034		80.7037		369.805		-136.103
38.7		-200.054		67.0934		455.038		-167.877
38.8		-154.55		50.3056		526.796		-194.592
38.9		-101.87		30.8464		581.964		-215.077
39		-43.6738		9.33868		617.923		-228.349
39.1		18.1185		-13.4962		632.66		-233.65
39.2		81.3845		-36.8613		624.862		-230.489
39.3		143.871		-59.9102		593.996		-218.664
39.4		203.27		-81.7766		540.351		-198.286
39.5		257.305		-101.605		465.059		-169.782
39.6		303.811		-118.583		370.086		-133.891
39.7		340.82		-131.972		258.191		-91.651
39.8		366.639		-141.138		132.85		-44.3718
39.9		379.924		-145.575		-1.84119		6.40585
40		379.74		-144.934		-141.294		58.9557
40.1		365.61		-139.039		-280.579		111.423
40.2		337.553		-127.896		-414.594		161.888
40.3		296.093		-111.707		-538.242		208.433
40.4		242.269		-90.8642		-646.619		249.213
40.5		177.607		-65.9429		-735.2		282.526
40.6		104.087		-37.6902		-800.023		306.881
40.7		24.0847		-7.00212		-837.844		321.059
40.8		-59.6997		25.1038		-846.295		324.168
40.9		-144.329		57.5205		-823.992		315.687
41		-226.728		89.0893		-770.627		295.502
41.1		-303.791		118.64		-687.018		263.921
41.2		-372.493		145.032		-575.119		221.677
41.3		-430.005		167.199		-437.99		169.925
41.4		-473.804		184.192		-279.729		110.205
41.5		-501.777		195.212		-105.354		44.405
41.6		-512.312		199.653		79.3408		-25.2939
41.7		-504.378		197.123		267.974		-96.4904
41.8		-477.581		187.474		453.784		-166.641
41.9		-432.202		170.81		629.866		-233.146
42		-369.216		147.496		789.419		-293.447
42.1		-290.274		118.151		925.995		-345.119
42.2		-197.674		83.6391		1033.75		-385.961
42.3		-94.2991		45.043		1107.69		-414.092
42.4		16.4702		3.63377		1143.87		-428.027
42.5		130.857		-39.1689		1139.56		-426.743
42.6		244.813		-81.8432		1093.45		-409.74
42.7		354.158		-122.817		1005.68		-377.075
42.8		454.726		-160.525		877.942		-329.377
42.9		542.52		-193.462		713.432		-267.852
43		613.863		-220.248		516.82		-194.254
43.1		665.545		-239.673		294.118		-110.843
43.2		694.957		-250.757		52.5117		-20.3211
43.3		700.208		-252.789		-199.858		74.2503
43.4		680.222		-245.364		-454.159		169.55
43.5		634.807		-228.409		-701.164		262.109
43.6		564.69		-202.199		-931.578		348.43
43.7		471.532		-167.355		-1136.37		425.119
43.8		357.895		-124.844		-1307.12		489.008
43.9		227.184		-75.9428		-1436.33		537.282
44		83.5505		-22.2146		-1517.78		567.595
44.1		-68.2272		34.5449		-1546.73		578.171
44.2		-222.9		92.362		-1520.22		567.894
44.3		-374.922		149.151		-1437.18		536.368
44.4		-518.64		202.788		-1298.61		483.96
44.5		-648.501		251.184		-1107.53		411.817
44.6		-759.253		292.366		-869.018		321.849
44.7		-846.155		324.551		-590.078		216.687
44.8		-905.163		346.22		-279.435		99.6164
44.9		-933.106		356.181		52.7024		-25.5218
45		-927.836		353.629		394.966		-154.451
45.1		-888.34		338.184		735.202		-282.597
45.2		-814.819		309.924		1060.89		-405.249
45.3		-708.731		269.399		1359.57		-517.724
45.4		-572.774		217.627		1619.33		-615.537
45.5		-410.841		156.073		1829.25		-694.577
45.6		-227.916		86.6155		1979.81		-751.268
45.7		-29.9342		11.4887		2063.35		-782.721
