#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
15.7		-2.51994		-4.03195		0.15963		-0.779419
15.8		-2.50145		-4.10234		0.200805		-0.623522
15.9		-2.47975		-4.15668		0.224864		-0.459312
16		-2.45644		-4.19423		0.233977		-0.288198
16.1		-2.43289		-4.21436		0.230886		-0.111807
16.2		-2.41018		-4.21664		0.218798		0.068053
16.3		-2.38905		-4.2008		0.201256		0.249452
16.4		-2.36984		-4.16679		0.181995		0.430386
16.5		-2.35256		-4.11477		0.164795		0.608839
16.6		-2.33679		-4.04508		0.153332		0.78284
16.7		-2.3218		-3.95825		0.151032		0.950521
16.8		-2.30651		-3.85502		0.16093		1.11017
16.9		-2.28955		-3.73626		0.185554		1.26027
17		-2.26934		-3.603		0.226817		1.39957
17.1		-2.24414		-3.45637		0.285939		1.52707
17.2		-2.21213		-3.2976		0.363391		1.64209
17.3		-2.17146		-3.12797		0.458868		1.74424
17.4		-2.12038		-2.94876		0.571292		1.83347
17.5		-2.05724		-2.76127		0.698846		1.90999
17.6		-1.98066		-2.56675		0.839026		1.97434
17.7		-1.88951		-2.36639		0.988733		2.02727
17.8		-1.783		-2.16127		1.14437		2.06977
17.9		-1.66073		-1.95241		1.302		2.10297
18		-1.5227		-1.74065		1.45741		2.12813
18.1		-1.36935		-1.52675		1.60637		2.14657
18.2		-1.20153		-1.3113		1.74468		2.15961
18.3		-1.02051		-1.09479		1.86839		2.16852
18.4		-0.827946		-0.877571		1.9739		2.17444
18.5		-0.625815		-0.659879		2.05813		2.1784
18.6		-0.416389		-0.441868		2.11858		2.18121
18.7		-0.202152		-0.22362		2.15348		2.18344
18.8		0.0142716		-0.0051684		2.16179		2.18544
18.9		0.230192		0.213473		2.1433		2.18726
19		0.442937		0.432283		2.09859		2.18872
19.1		0.649935		0.651208		2.02903		2.18933
19.2		0.848787		0.870135		1.93674		2.1884
19.3		1.03734		1.08887		1.82447		2.18501
19.4		1.21376		1.30711		1.69557		2.17805
19.5		1.37654		1.52445		1.55381		2.16631
19.6		1.52462		1.74034		1.40328		2.14845
19.7		1.6573		1.95411		1.2482		2.12316
19.8		1.77436		2.16494		1.09283		2.0891
19.9		1.87597		2.3719		0.941276		2.04506
20		1.96272		2.57392		0.797341		1.98995
20.1		2.03553		2.76986		0.664415		1.92287
20.2		2.09568		2.95848		0.54534		1.84314
20.3		2.14466		3.13848		0.442319		1.75037
20.4		2.18418		3.30855		0.356835		1.64445
20.5		2.21606		3.46737		0.289611		1.52558
20.6		2.24212		3.61367		0.240589		1.39426
20.7		2.26416		3.74624		0.208937		1.25134
20.8		2.28387		3.86396		0.193096		1.09792
20.9		2.30273		3.96585		0.190837		0.935388
21		2.32198		4.05108		0.199364		0.765353
21.1		2.34253		4.11897		0.215415		0.589613
21.2		2.36498		4.16905		0.235403		0.410099
21.3		2.38952		4.20104		0.25555		0.228818
21.4		2.41599		4.21486		0.272044		0.0478007
21.5		2.44384		4.21065		0.281185		-0.130965
21.6		2.47214		4.18871		0.279533		-0.305585
21.7		2.49966		4.14957		0.264049		-0.474317
21.8		2.52488		4.09389		0.232214		-0.635616
21.9		2.54605		4.02249		0.182136		-0.788178
22		2.56127		3.93629		0.112627		-0.93097
22.1		2.56856		3.83631		0.0232601		-1.06325
22.2		2.56592		3.72365		-0.0856046		-1.1846
22.3		2.55146		3.5994		-0.212824		-1.29487
22.4		2.5234		3.46467		-0.356503		-1.39426
22.5		2.48021		3.32054		-0.514056		-1.4832
22.6		2.42066		3.16802		-0.682291		-1.56238
22.7		2.34384		3.00805		-0.857521		-1.63272
22.8		2.24925		2.84145		-1.03569		-1.69527
22.9		2.1368		2.66896		-1.21251		-1.75119
23		2.00685		2.49118		-1.38361		-1.80171
23.1		1.86019		2.30859		-1.54472		-1.84805
23.2		1.69801		2.12154		-1.69178		-1.89138
23.3		1.52193		1.93029		-1.82108		-1.93273
23.4		1.33388		1.73497		-1.92946		-1.97301
23.5		1.13611		1.53567		-2.01432		-2.0129
23.6		0.931072		1.33238		-2.07381		-2.05286
23.7		0.721383		1.12509		-2.10682		-2.0931
23.8		0.509725		0.913758		-2.11306		-2.13354
23.9		0.298768		0.698384		-2.09304		-2.17384
24		0.0910937		0.479002		-2.04808		-2.2134
24.1		-0.110889		0.255723		-1.98023		-2.25136
24.2		-0.305011		0.0287537		-1.89221		-2.28667
24.3		-0.489405		-0.201582		-1.7873		-2.31807
24.4		-0.662557		-0.434828		-1.66922		-2.3442
24.5		-0.823346		-0.670387		-1.54203		-2.3636
24.6		-0.971064		-0.907511		-1.40989		-2.37479
24.7		-1.10543		-1.14531		-1.27702		-2.37632
24.8		-1.22657		-1.38274		-1.14745		-2.36683
24.9		-1.33502		-1.61864		-1.02496		-2.34512
25		-1.43165		-1.85174		-0.912864		-2.31016
25.1		-1.51766		-2.08065		-0.813944		-2.26116
25.2		-1.5945		-2.30395		-0.730335		-2.19763
25.3		-1.66377		-2.52017		-0.663451		-2.11934
25.4		-1.72721		-2.72782		-0.61394		-2.02642
25.5		-1.78657		-2.92546		-0.581667		-1.9193
25.6		-1.84353		-3.1117		-0.56572		-1.79872
25.7		-1.89968		-3.28523		-0.564459		-1.66574
25.8		-1.95638		-3.44487		-0.575578		-1.52168
25.9		-2.01473		-3.5896		-0.596199		-1.3681
26		-2.07554		-3.71854		-0.622987		-1.20676
26.1		-2.13924		-3.831		-0.652283		-1.03954
26.2		-2.2059		-3.92649		-0.680246		-0.868426
26.3		-2.2752		-4.00473		-0.703005		-0.695427
26.4		-2.34641		-4.06563		-0.716814		-0.522511
26.5		-2.41847		-4.10928		-0.718195		-0.351561
26.6		-2.48997		-4.13598		-0.704081		-0.184313
26.7		-2.55922		-4.14618		-0.671939		-0.0223109
26.8		-2.6243		-4.14048		-0.619872		0.133138
26.9		-2.68315		-4.11959		-0.546703		0.28099
27		-2.73362		-4.0843		-0.452025		0.420495
27.1		-2.77356		-4.0355		-0.336231		0.551201
27.2		-2.80089		-3.97407		-0.20051		0.672958
27.3		-2.8137		-3.90091		-0.0468096		0.785909
27.4		-2.81031		-3.81688		0.12222		0.890466
27.5		-2.78933		-3.7228		0.303316		0.987282
27.6		-2.74973		-3.61941		0.492714		1.07721
27.7		-2.69089		-3.50734		0.686272		1.16125
27.8		-2.61258		-3.38713		0.87962		1.24053
27.9		-2.51507		-3.25921		1.06831		1.31618
28		-2.39903		-3.12387		1.24796		1.38935
28.1		-2.26558		-2.98131		1.41443		1.46113
28.2		-2.11624		-2.83162		1.56394		1.53247
28.3		-1.95288		-2.67479		1.69323		1.60416
28.4		-1.77767		-2.51077		1.79965		1.6768
28.5		-1.59301		-2.33942		1.88124		1.75072
28.6		-1.40146		-2.16062		1.93685		1.82601
28.7		-1.20566		-1.97422		1.9661		1.90248
28.8		-1.00824		-1.78013		1.96946		1.97966
28.9		-0.811744		-1.57831		1.94819		2.0568
29		-0.618559		-1.36879		1.90429		2.13291
