Datos Ecuación Calor para el Oro: k = 1.27
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.127
x	u(x,t)
74	8.63987e+08
75	-8.31655e+08
76	7.98925e+08
77	-7.65862e+08
78	7.32528e+08
79	-6.98981e+08
80	6.65273e+08
81	-6.31455e+08
82	5.97571e+08
83	-5.63661e+08
84	5.29761e+08
85	-4.959e+08
86	4.62106e+08
87	-4.28397e+08
88	3.94792e+08
89	-3.61301e+08
90	3.27932e+08
91	-2.94689e+08
92	2.6157e+08
93	-2.28572e+08
94	1.95686e+08
95	-1.62903e+08
96	1.30209e+08
97	-9.75896e+07
98	6.50273e+07
99	-3.25038e+07
100	10
-------------------------------------------------------------

r = 0.5715
x	u(x,t)
0	0
1	1.26722e+70
2	-2.53684e+70
3	3.81124e+70
4	-5.09272e+70
5	6.3835e+70
6	-7.68563e+70
7	9.00105e+70
8	-1.03315e+71
9	1.16784e+71
10	-1.30431e+71
11	1.44266e+71
12	-1.58295e+71
13	1.72523e+71
14	-1.8695e+71
15	2.01573e+71
16	-2.16386e+71
17	2.31378e+71
18	-2.46537e+71
19	2.61844e+71
20	-2.77279e+71
21	2.92817e+71
22	-3.08429e+71
23	3.24083e+71
24	-3.39745e+71
25	3.55377e+71
26	-3.70936e+71
27	3.8638e+71
28	-4.01662e+71
29	4.16735e+71
30	-4.31548e+71
31	4.4605e+71
32	-4.60189e+71
33	4.73913e+71
34	-4.87168e+71
35	4.99903e+71
36	-5.12064e+71
37	5.23601e+71
38	-5.34466e+71
39	5.4461e+71
40	-5.53988e+71
41	5.62559e+71
42	-5.70282e+71
43	5.77123e+71
44	-5.83049e+71
45	5.88032e+71
46	-5.92049e+71
47	5.95081e+71
48	-5.97112e+71
49	5.98134e+71
50	-5.9814e+71
51	5.97133e+71
52	-5.95116e+71
53	5.921e+71
54	-5.88099e+71
55	5.83133e+71
56	-5.77226e+71
57	5.70406e+71
58	-5.62705e+71
59	5.54161e+71
60	-5.44811e+71
61	5.347e+71
62	-5.23872e+71
63	5.12375e+71
64	-5.0026e+71
65	4.87577e+71
66	-4.7438e+71
67	4.60721e+71
68	-4.46654e+71
69	4.32232e+71
70	-4.17509e+71
71	4.02537e+71
72	-3.87365e+71
73	3.72044e+71
74	-3.5662e+71
75	3.41139e+71
76	-3.25641e+71
77	3.10167e+71
78	-2.94753e+71
79	2.79432e+71
80	-2.64233e+71
81	2.49182e+71
82	-2.34302e+71
83	2.19611e+71
84	-2.05124e+71
85	1.90852e+71
86	-1.76803e+71
87	1.62981e+71
88	-1.49385e+71
89	1.36013e+71
90	-1.22859e+71
91	1.09913e+71
92	-9.71626e+70
93	8.45934e+70
94	-7.2188e+70
95	5.99272e+70
96	-4.77896e+70
97	3.57525e+70
98	-2.3792e+70
99	1.1883e+70
100	10
