Datos Ecuación Calor para la Plata: k = 1.71
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.0855
x	u(x,t)
64	5.79446e+20
65	-5.69159e+20
66	5.58304e+20
67	-5.46904e+20
68	5.34981e+20
69	-5.22556e+20
70	5.09652e+20
71	-4.96292e+20
72	4.82499e+20
73	-4.68295e+20
74	4.53704e+20
75	-4.38747e+20
76	4.23446e+20
77	-4.07824e+20
78	3.91902e+20
79	-3.75701e+20
80	3.5924e+20
81	-3.42539e+20
82	3.25618e+20
83	-3.08493e+20
84	2.91183e+20
85	-2.73704e+20
86	2.5607e+20
87	-2.38298e+20
88	2.20401e+20
89	-2.02393e+20
90	1.84285e+20
91	-1.66089e+20
92	1.47816e+20
93	-1.29478e+20
94	1.11082e+20
95	-9.26387e+19
96	7.41565e+19
97	-5.56438e+19
98	3.71083e+19
99	-1.85579e+19
100	10
-------------------------------------------------------------

r = 0.5985
x	u(x,t)
0	0
1	-1.12228e+121
2	2.24505e+121
3	-3.36877e+121
4	4.4939e+121
5	-5.62084e+121
6	6.74991e+121
7	-7.8814e+121
8	9.01549e+121
9	-1.01523e+122
10	1.12917e+122
11	-1.24337e+122
12	1.3578e+122
13	-1.47241e+122
14	1.58716e+122
15	-1.70198e+122
16	1.81677e+122
17	-1.93146e+122
18	2.04591e+122
19	-2.16001e+122
20	2.27361e+122
21	-2.38654e+122
22	2.49865e+122
23	-2.60974e+122
24	2.71961e+122
25	-2.82805e+122
26	2.93484e+122
27	-3.03976e+122
28	3.14256e+122
29	-3.24301e+122
30	3.34084e+122
31	-3.43581e+122
32	3.52766e+122
33	-3.61614e+122
34	3.70099e+122
35	-3.78197e+122
36	3.85882e+122
37	-3.93132e+122
38	3.99922e+122
39	-4.06232e+122
40	4.1204e+122
41	-4.17328e+122
42	4.22077e+122
43	-4.26271e+122
44	4.29896e+122
45	-4.32939e+122
46	4.35389e+122
47	-4.37239e+122
48	4.38481e+122
49	-4.39112e+122
50	4.39129e+122
51	-4.38532e+122
52	4.37325e+122
53	-4.35511e+122
54	4.33097e+122
55	-4.30093e+122
56	4.26509e+122
57	-4.22358e+122
58	4.17656e+122
59	-4.12418e+122
60	4.06664e+122
61	-4.00413e+122
62	3.93685e+122
63	-3.86504e+122
64	3.78893e+122
65	-3.70877e+122
66	3.62479e+122
67	-3.53726e+122
68	3.44644e+122
69	-3.35259e+122
70	3.25596e+122
71	-3.15683e+122
72	3.05543e+122
73	-2.95203e+122
74	2.84687e+122
75	-2.74017e+122
76	2.63218e+122
77	-2.52311e+122
78	2.41315e+122
79	-2.3025e+122
80	2.19134e+122
81	-2.07982e+122
82	1.96811e+122
83	-1.85632e+122
84	1.74458e+122
85	-1.63299e+122
86	1.52163e+122
87	-1.41056e+122
88	1.29985e+122
89	-1.18953e+122
90	1.07963e+122
91	-9.70144e+121
92	8.61084e+121
93	-7.5243e+121
94	6.44157e+121
95	-5.3623e+121
96	4.28603e+121
97	-3.21226e+121
98	2.14041e+121
99	-1.06988e+121
100	10
